Company,ESG_Score,E_Score,S_Score,G_Score,Year,PDF_URL
COSCO Shipping Energy Transportation Co Ltd,63,76,47,72,2024,https://lines.coscoshipping.com/lines_resource/pdf/quality2023en.pdf
Yangzijiang Shipbuilding Holdings Ltd,40,42,38,41,2024,https://www.yzjship.com/Upload/ueditor/files/2025-04-14/FY2024SustainabilityReport-5b174f89192c4730a960ad1a73c72678.pdf
Zimmer Biomet Holdings Inc,59,33,66,61,2024,https://investor.zimmerbiomet.com/~/media/Files/Z/ZimmerBiomet-IR/documents/sustainability-reports/2024-sustainability-report.pdf
AP Moeller - Maersk A/S,65,59,64,75,2023,https://www.maersk.com/~/media_sc9/maersk/corporate/sustainability/files/resources/2024/maersk-annual-report-2024.pdf
Hutchison Telecommunications Hong Kong Holdings Ltd,57,75,44,68,2024,https://doc.irasia.com/listco/hk/ckh/annual/2024/esr.pdf
Wilh Wilhelmsen Holding ASA,50,54,47,51,2023,https://www.wilhelmsen.com/globalassets/investor-relations/annual-report/wwh_esg_report_2023.pdf
Frontline Plc,46,28,38,76,2023,https://www.frontlineplc.cy/wp-content/uploads/2024/06/2023-FRO-ESG-Report.pdf
Teekay Corp,38,35,42,35,2023,https://www.teekay.com/wp-content/uploads/2024/03/2023-Sustainability-Report.pdf
Onex Corp,42,55,39,40,2023,https://www.celestica.com/uploadedFiles/Site/about-us/sustainabilityv2/sustainability-reporting/Celestica2023SustainabilityReport.pdf
Evergreen Marine Corp Taiwan Ltd,49,58,64,17,2024,https://csr.evergreen-marine.com/pdf/csr-policy-report/Evergreen_CSR_2023.pdf?v=202409
Macmahon Holdings Ltd,38,35,36,44,2024,https://company-announcements.afr.com/asx/mah/cd357bc9-5e7c-11ef-beba-3ea1a61ffeaf.pdf
MSC Industrial Direct Co Inc,68,75,61,68,2022,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/m/NYSE_MSM_2022.pdf
Pilbara Minerals Ltd,65,57,71,67,2024,https://pls.com/wp-content/uploads/2024/12/2024-MODERN-SLAVERY-STATEMENT-Final-submitted.pdf
SITC International Holdings Co Ltd,66,75,60,64,2024,https://www.sitc.com/en/upfile/202403/2024032234861297.pdf
Wallenius Wilhelmsen ASA,68,51,73,81,2023,https://www.walleniuswilhelmsen.com/storage/images/WWAnnualReport2023.pdf
MOL Magyar Olajes Gazipari Nyrt,63,73,75,26,2023,https://molgroup.info/en/show/publications/annual_reports/2023/integrated-annual-report-2023-eng.pdf
Mitsui OSK Lines Ltd,77,74,85,70,2024,https://www.mol.co.jp/en/sustainability/library/pdf/factbook2024.pdf
Hyundai Glovis Co Ltd,71,80,85,44,2023,https://www.glovis.net/upload/files/2025/03/557745fa-702d-4c2b-89c6-eccb987d6100.pdf
Qatar Gas Transport Nakilat Co Ltd QPSC,64,51,56,89,2024,https://www.nakilat.com/wp-content/uploads/2025/07/Nakilat-ESG-Report-2024.pdf
Euronav NV,50,37,46,70,2024,https://cmb.tech/public/Sustainability-ENG.pdf
DHT Holdings Inc,44,22,37,79,2024,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/NYSE_DHT_2023.pdf
International Seaways Inc,47,21,42,82,2023,https://s203.q4cdn.com/968379449/files/doc_downloads/2024/INSW2023_ESG-Report.pdf
Scorpio Tankers Inc,49,39,53,54,2024,https://www.scorpiotankers.com/wp-content/uploads/2025/05/STNG_2024_Sustainability-Report_Final.pdf
Ardmore Shipping Corp,37,46,13,59,2023,https://ardmoreshipping.com/wp-content/uploads/2024/06/11_Ardmore_Sustainability-Report_RMCS_HighRes.pdf
Torm PLC,52,38,63,52,2023,https://s202.q4cdn.com/126069760/files/doc_downloads/reports_and_policies/torm-responsibility-report-2023_compressed.pdf
Hafnia Ltd,37,37,47,23,2023,https://s201.q4cdn.com/891122012/files/doc_financials/2023/ar/Hafnia_AR_2023-FINAL.pdf
Capital Securities Corp,63,42,82,53,2024,https://www.smfg.co.jp/english/sustainability/report/pdf/sustainability_report_e_2024.pdf
Swire Pacific Ltd,67,72,84,31,2024,https://www.swirepacific.com/storage/fm/2024SustainabilityReport/report-en.pdf
Kongsberg Gruppen ASA,65,65,75,52,2024,https://www.ksat.no/globalassets/ksat/documents/ksat_annual-and-sustainability-report-2024.pdf
